segment_id,file,start_frame,end_frame,start_s,end_s,duration_s,view_dist,motion
1,seg_0001.mp4,12144,13838,404.8,461.267,56.467,3.35,0.241
2,seg_0002.mp4,14229,14889,474.3,496.3,22.0,1.81,0.111
3,seg_0003.mp4,15182,15990,506.067,533.0,26.933,1.78,0.135
4,seg_0004.mp4,16281,17190,542.7,573.0,30.3,1.75,0.216
5,seg_0005.mp4,17554,18775,585.133,625.833,40.7,1.65,0.211
6,seg_0006.mp4,19388,20635,646.267,687.833,41.567,1.8,0.22
7,seg_0007.mp4,21247,21694,708.233,723.133,14.9,1.74,0.152
8,seg_0008.mp4,22252,22618,741.733,753.933,12.2,1.93,0.2
9,seg_0009.mp4,24062,24859,802.067,828.633,26.567,1.67,0.239
10,seg_0010.mp4,25795,26332,859.833,877.733,17.9,1.67,0.137
11,seg_0011.mp4,26677,27319,889.233,910.633,21.4,1.81,0.267
12,seg_0012.mp4,27794,28476,926.467,949.2,22.733,1.59,0.208
13,seg_0013.mp4,29658,31054,988.6,1035.133,46.533,1.63,0.231
14,seg_0014.mp4,31729,31987,1057.633,1066.233,8.6,1.69,0.202
15,seg_0015.mp4,33786,34342,1126.2,1144.733,18.533,1.61,0.189
16,seg_0016.mp4,34683,35576,1156.1,1185.867,29.767,1.77,0.184
17,seg_0017.mp4,37734,38430,1257.8,1281.0,23.2,1.81,0.149
18,seg_0018.mp4,38836,40065,1294.533,1335.5,40.967,1.62,0.247
19,seg_0019.mp4,41353,41798,1378.433,1393.267,14.833,1.58,0.215
20,seg_0020.mp4,42324,43100,1410.8,1436.667,25.867,1.56,0.265
21,seg_0021.mp4,43856,44191,1461.867,1473.033,11.167,1.73,0.273
22,seg_0022.mp4,44593,45259,1486.433,1508.633,22.2,1.76,0.171
23,seg_0023.mp4,45848,46470,1528.267,1549.0,20.733,1.67,0.265
24,seg_0024.mp4,47638,48268,1587.933,1608.933,21.0,1.81,0.205
25,seg_0025.mp4,49407,49717,1646.9,1657.233,10.333,1.55,0.19
26,seg_0026.mp4,49755,50254,1658.5,1675.133,16.633,1.53,0.271
27,seg_0027.mp4,51813,52071,1727.1,1735.7,8.6,1.67,0.284
28,seg_0028.mp4,52632,53713,1754.4,1790.433,36.033,1.57,0.268
29,seg_0029.mp4,54907,55215,1830.233,1840.5,10.267,1.61,0.125
30,seg_0030.mp4,55570,55928,1852.333,1864.267,11.933,1.64,0.143
31,seg_0031.mp4,56187,57025,1872.9,1900.833,27.933,1.63,0.243
32,seg_0032.mp4,57769,59175,1925.633,1972.5,46.867,1.62,0.261
33,seg_0033.mp4,59859,60057,1995.3,2001.9,6.6,1.74,0.162
34,seg_0034.mp4,63552,65216,2118.4,2173.867,55.467,3.02,0.251
35,seg_0035.mp4,65710,66325,2190.333,2210.833,20.5,1.21,0.163
36,seg_0036.mp4,67332,67996,2244.4,2266.533,22.133,1.16,0.145
37,seg_0037.mp4,68282,69099,2276.067,2303.3,27.233,1.12,0.212
38,seg_0038.mp4,69680,70566,2322.667,2352.2,29.533,1.26,0.214
39,seg_0039.mp4,71280,72132,2376.0,2404.4,28.4,1.13,0.264
40,seg_0040.mp4,72536,73222,2417.867,2440.733,22.867,1.1,0.155
41,seg_0041.mp4,73266,73483,2442.2,2449.433,7.233,1.14,0.247
42,seg_0042.mp4,74314,75123,2477.133,2504.1,26.967,1.24,0.219
43,seg_0043.mp4,76136,76468,2537.867,2548.933,11.067,1.18,0.251
