segment_id,file,start_frame,end_frame,start_s,end_s,duration_s,view_dist,motion
1,seg_0001.mp4,10534,10941,351.133,364.7,13.567,4.49,0.139
2,seg_0002.mp4,11422,11885,380.733,396.167,15.433,4.4,0.237
3,seg_0003.mp4,12286,12686,409.533,422.867,13.333,2.06,0.161
4,seg_0004.mp4,13502,13906,450.067,463.533,13.467,2.16,0.148
5,seg_0005.mp4,15294,15646,509.8,521.533,11.733,2.18,0.149
6,seg_0006.mp4,16281,17028,542.7,567.6,24.9,2.1,0.161
7,seg_0007.mp4,17429,17784,580.967,592.8,11.833,2.13,0.289
8,seg_0008.mp4,18448,19065,614.933,635.5,20.567,2.03,0.128
9,seg_0009.mp4,19305,19832,643.5,661.067,17.567,2.07,0.27
10,seg_0010.mp4,20430,20818,681.0,693.933,12.933,2.06,0.142
11,seg_0011.mp4,21189,21922,706.3,730.733,24.433,2.03,0.182
12,seg_0012.mp4,23129,23398,770.967,779.933,8.967,2.17,0.135
13,seg_0013.mp4,24134,24708,804.467,823.6,19.133,2.08,0.256
14,seg_0014.mp4,25126,25548,837.533,851.6,14.067,2.03,0.123
15,seg_0015.mp4,25878,26344,862.6,878.133,15.533,2.16,0.209
16,seg_0016.mp4,26790,27429,893.0,914.3,21.3,2.07,0.226
17,seg_0017.mp4,28307,28540,943.567,951.333,7.767,2.09,0.195
18,seg_0018.mp4,29012,29741,967.067,991.367,24.3,2.06,0.228
19,seg_0019.mp4,30946,31433,1031.533,1047.767,16.233,1.99,0.204
20,seg_0020.mp4,31894,32374,1063.133,1079.133,16.0,2.09,0.183
21,seg_0021.mp4,33003,33269,1100.1,1108.967,8.867,2.16,0.152
22,seg_0022.mp4,33398,33920,1113.267,1130.667,17.4,2.0,0.183
23,seg_0023.mp4,35972,36347,1199.067,1211.567,12.5,2.7,0.284
24,seg_0024.mp4,36821,37220,1227.367,1240.667,13.3,2.08,0.203
25,seg_0025.mp4,37826,38759,1260.867,1291.967,31.1,2.09,0.178
26,seg_0026.mp4,39340,39629,1311.333,1320.967,9.633,2.15,0.133
27,seg_0027.mp4,40457,40751,1348.567,1358.367,9.8,2.1,0.168
28,seg_0028.mp4,41356,41760,1378.533,1392.0,13.467,2.09,0.165
29,seg_0029.mp4,43430,44034,1447.667,1467.8,20.133,2.12,0.233
30,seg_0030.mp4,44562,45491,1485.4,1516.367,30.967,2.07,0.113
31,seg_0031.mp4,45821,46038,1527.367,1534.6,7.233,2.06,0.287
32,seg_0032.mp4,49544,50135,1651.467,1671.167,19.7,3.58,0.217
33,seg_0033.mp4,50636,51086,1687.867,1702.867,15.0,1.57,0.223
34,seg_0034.mp4,51732,52038,1724.4,1734.6,10.2,1.61,0.148
35,seg_0035.mp4,52526,53105,1750.867,1770.167,19.3,1.61,0.234
36,seg_0036.mp4,53552,54094,1785.067,1803.133,18.067,1.6,0.218
37,seg_0037.mp4,54828,55198,1827.6,1839.933,12.333,1.62,0.164
38,seg_0038.mp4,56475,57036,1882.5,1901.2,18.7,1.59,0.206
39,seg_0039.mp4,60216,61144,2007.2,2038.133,30.933,1.59,0.212
40,seg_0040.mp4,62356,62980,2078.533,2099.333,20.8,1.6,0.213
41,seg_0041.mp4,64008,64504,2133.6,2150.133,16.533,1.55,0.142
