segment_id,file,start_frame,end_frame,start_s,end_s,duration_s,view_dist,motion
1,seg_0001.mp4,17478,18103,582.6,603.433,20.833,3.87,0.21
2,seg_0002.mp4,18586,19480,619.533,649.333,29.8,1.74,0.243
3,seg_0003.mp4,20186,21176,672.867,705.867,33.0,1.76,0.3
4,seg_0004.mp4,22159,22301,738.633,743.367,4.733,1.75,0.193
5,seg_0005.mp4,22787,22969,759.567,765.633,6.067,1.72,0.254
6,seg_0006.mp4,23456,23587,781.867,786.233,4.367,1.76,0.222
7,seg_0007.mp4,23958,24270,798.6,809.0,10.4,1.71,0.213
8,seg_0008.mp4,24720,25028,824.0,834.267,10.267,1.79,0.335
9,seg_0009.mp4,25702,26208,856.733,873.6,16.867,1.76,0.307
10,seg_0010.mp4,27317,27439,910.567,914.633,4.067,1.75,0.213
11,seg_0011.mp4,27746,28037,924.867,934.567,9.7,1.7,0.239
12,seg_0012.mp4,28969,29316,965.633,977.2,11.567,1.81,0.285
13,seg_0013.mp4,30068,30542,1002.267,1018.067,15.8,1.69,0.25
14,seg_0014.mp4,31288,32039,1042.933,1067.967,25.033,1.95,0.307
15,seg_0015.mp4,33184,33806,1106.133,1126.867,20.733,1.69,0.262
16,seg_0016.mp4,34609,34912,1153.633,1163.733,10.1,1.67,0.283
17,seg_0017.mp4,35676,35924,1189.2,1197.467,8.267,1.63,0.266
18,seg_0018.mp4,38092,38342,1269.733,1278.067,8.333,2.07,0.277
19,seg_0019.mp4,39281,39656,1309.367,1321.867,12.5,1.81,0.271
20,seg_0020.mp4,40487,40702,1349.567,1356.733,7.167,1.8,0.279
21,seg_0021.mp4,41011,41303,1367.033,1376.767,9.733,1.74,0.277
22,seg_0022.mp4,41813,42152,1393.767,1405.067,11.3,1.78,0.332
23,seg_0023.mp4,43441,43996,1448.033,1466.533,18.5,1.72,0.309
24,seg_0024.mp4,44795,45588,1493.167,1519.6,26.433,1.59,0.272
25,seg_0025.mp4,47306,47864,1576.867,1595.467,18.6,1.61,0.282
26,seg_0026.mp4,49254,49470,1641.8,1649.0,7.2,1.59,0.202
27,seg_0027.mp4,51089,51494,1702.967,1716.467,13.5,1.53,0.28
28,seg_0028.mp4,52856,53197,1761.867,1773.233,11.367,1.6,0.19
29,seg_0029.mp4,53510,53650,1783.667,1788.333,4.667,1.58,0.255
30,seg_0030.mp4,54037,54494,1801.233,1816.467,15.233,1.55,0.237
31,seg_0031.mp4,54900,55322,1830.0,1844.067,14.067,1.64,0.175
32,seg_0032.mp4,56122,56342,1870.733,1878.067,7.333,1.5,0.207
33,seg_0033.mp4,57018,57598,1900.6,1919.933,19.333,1.52,0.267
34,seg_0034.mp4,59226,59470,1974.2,1982.333,8.133,1.76,0.226
35,seg_0035.mp4,59857,60181,1995.233,2006.033,10.8,1.56,0.285
36,seg_0036.mp4,60581,61181,2019.367,2039.367,20.0,1.53,0.215
37,seg_0037.mp4,61844,61996,2061.467,2066.533,5.067,1.53,0.181
38,seg_0038.mp4,65627,66072,2187.567,2202.4,14.833,3.81,0.2
39,seg_0039.mp4,66515,66948,2217.167,2231.6,14.433,1.7,0.287
40,seg_0040.mp4,68023,68294,2267.433,2276.467,9.033,1.53,0.205
41,seg_0041.mp4,68731,68908,2291.033,2296.933,5.9,1.55,0.213
