segment_id,file,start_frame,end_frame,start_s,end_s,duration_s,view_dist,motion
1,seg_0001.mp4,17000,17965,566.667,598.833,32.167,3.8,0.265
2,seg_0002.mp4,18342,18594,611.4,619.8,8.4,2.07,0.34
3,seg_0003.mp4,19019,19694,633.967,656.467,22.5,1.7,0.312
4,seg_0004.mp4,20152,20531,671.733,684.367,12.633,3.13,0.235
5,seg_0005.mp4,20946,21125,698.2,704.167,5.967,3.44,0.319
6,seg_0006.mp4,21572,22141,719.067,738.033,18.967,1.67,0.307
7,seg_0007.mp4,22769,22906,758.967,763.533,4.567,1.64,0.269
8,seg_0008.mp4,23198,23718,773.267,790.6,17.333,1.57,0.322
9,seg_0009.mp4,24347,24704,811.567,823.467,11.9,1.52,0.344
10,seg_0010.mp4,25591,25742,853.033,858.067,5.033,1.61,0.267
11,seg_0011.mp4,26200,26560,873.333,885.333,12.0,1.43,0.235
12,seg_0012.mp4,27092,27907,903.067,930.233,27.167,1.52,0.343
13,seg_0013.mp4,28775,29280,959.167,976.0,16.833,1.54,0.313
14,seg_0014.mp4,29831,30235,994.367,1007.833,13.467,1.55,0.327
15,seg_0015.mp4,30684,31048,1022.8,1034.933,12.133,1.49,0.174
16,seg_0016.mp4,32846,33040,1094.867,1101.333,6.467,2.09,0.145
17,seg_0017.mp4,33415,33784,1113.833,1126.133,12.3,1.59,0.344
18,seg_0018.mp4,34302,34564,1143.4,1152.133,8.733,1.66,0.307
19,seg_0019.mp4,36170,36347,1205.667,1211.567,5.9,1.54,0.199
20,seg_0020.mp4,36682,36919,1222.733,1230.633,7.9,1.57,0.247
21,seg_0021.mp4,37262,38416,1242.067,1280.533,38.467,1.67,0.338
22,seg_0022.mp4,38940,39148,1298.0,1304.933,6.933,1.78,0.241
23,seg_0023.mp4,39834,40037,1327.8,1334.567,6.767,1.59,0.182
24,seg_0024.mp4,40475,40603,1349.167,1353.433,4.267,1.66,0.139
25,seg_0025.mp4,40930,42018,1364.333,1400.6,36.267,1.61,0.36
26,seg_0026.mp4,42596,43064,1419.867,1435.467,15.6,1.77,0.236
27,seg_0027.mp4,43558,43792,1451.933,1459.733,7.8,1.62,0.121
28,seg_0028.mp4,44238,44395,1474.6,1479.833,5.233,1.62,0.214
29,seg_0029.mp4,44734,44894,1491.133,1496.467,5.333,1.57,0.258
30,seg_0030.mp4,48504,48904,1616.8,1630.133,13.333,3.52,0.184
31,seg_0031.mp4,49513,49657,1650.433,1655.233,4.8,1.79,0.295
32,seg_0032.mp4,50134,50296,1671.133,1676.533,5.4,1.24,0.302
33,seg_0033.mp4,50716,51049,1690.533,1701.633,11.1,1.16,0.254
34,seg_0034.mp4,51432,51754,1714.4,1725.133,10.733,1.1,0.215
35,seg_0035.mp4,52225,52463,1740.833,1748.767,7.933,1.14,0.152
36,seg_0036.mp4,52908,53126,1763.6,1770.867,7.267,1.09,0.207
37,seg_0037.mp4,53465,54373,1782.167,1812.433,30.267,1.09,0.276
38,seg_0038.mp4,54864,55303,1828.8,1843.433,14.633,1.17,0.245
39,seg_0039.mp4,55894,56885,1863.133,1896.167,33.033,1.13,0.295
40,seg_0040.mp4,57595,57866,1919.833,1928.867,9.033,1.06,0.211
41,seg_0041.mp4,58190,58400,1939.667,1946.667,7.0,1.07,0.182
42,seg_0042.mp4,58865,60029,1962.167,2000.967,38.8,1.06,0.293
43,seg_0043.mp4,61681,62316,2056.033,2077.2,21.167,1.08,0.277
44,seg_0044.mp4,62860,63684,2095.333,2122.8,27.467,1.16,0.224
45,seg_0045.mp4,64721,65352,2157.367,2178.4,21.033,1.08,0.238
46,seg_0046.mp4,65923,66187,2197.433,2206.233,8.8,1.09,0.148
47,seg_0047.mp4,66787,66954,2226.233,2231.8,5.567,1.16,0.336
48,seg_0048.mp4,67897,69370,2263.233,2312.333,49.1,1.14,0.254
49,seg_0049.mp4,71576,72160,2385.867,2405.333,19.467,1.41,0.228
50,seg_0050.mp4,73616,74066,2453.867,2468.867,15.0,1.15,0.262
51,seg_0051.mp4,75312,75997,2510.4,2533.233,22.833,1.25,0.256
52,seg_0052.mp4,76474,76853,2549.133,2561.767,12.633,1.11,0.245
53,seg_0053.mp4,77551,77700,2585.033,2590.0,4.967,1.3,0.26
54,seg_0054.mp4,78913,79082,2630.433,2636.067,5.633,1.23,0.263
55,seg_0055.mp4,79574,79777,2652.467,2659.233,6.767,1.27,0.232
56,seg_0056.mp4,80208,80515,2673.6,2683.833,10.233,1.4,0.242
57,seg_0057.mp4,80908,81185,2696.933,2706.167,9.233,1.28,0.253
58,seg_0058.mp4,81673,81971,2722.433,2732.367,9.933,1.3,0.222
59,seg_0059.mp4,82358,82594,2745.267,2753.133,7.867,1.28,0.163
60,seg_0060.mp4,83014,83203,2767.133,2773.433,6.3,1.22,0.203
61,seg_0061.mp4,83738,83914,2791.267,2797.133,5.867,1.27,0.216
