segment_id,file,start_frame,end_frame,start_s,end_s,duration_s,view_dist,motion
1,seg_0001.mp4,13810,14215,460.333,473.833,13.5,3.58,0.203
2,seg_0002.mp4,14529,15061,484.3,502.033,17.733,1.29,0.241
3,seg_0003.mp4,15721,15902,524.033,530.067,6.033,1.16,0.191
4,seg_0004.mp4,16257,16706,541.9,556.867,14.967,1.19,0.215
5,seg_0005.mp4,17168,17498,572.267,583.267,11.0,1.28,0.165
6,seg_0006.mp4,17911,18255,597.033,608.5,11.467,1.14,0.2
7,seg_0007.mp4,18838,19084,627.933,636.133,8.2,1.1,0.159
8,seg_0008.mp4,19485,20071,649.5,669.033,19.533,1.14,0.242
9,seg_0009.mp4,20961,21258,698.7,708.6,9.9,1.02,0.153
10,seg_0010.mp4,21642,21871,721.4,729.033,7.633,1.09,0.216
11,seg_0011.mp4,22227,22628,740.9,754.267,13.367,1.04,0.168
12,seg_0012.mp4,23244,23655,774.8,788.5,13.7,1.07,0.225
13,seg_0013.mp4,24367,24562,812.233,818.733,6.5,1.14,0.218
14,seg_0014.mp4,25078,25596,835.933,853.2,17.267,1.07,0.218
15,seg_0015.mp4,26876,27237,895.867,907.9,12.033,1.03,0.134
16,seg_0016.mp4,27646,29368,921.533,978.933,57.4,1.04,0.254
17,seg_0017.mp4,31069,31467,1035.633,1048.9,13.267,1.04,0.152
18,seg_0018.mp4,31998,32222,1066.6,1074.067,7.467,1.11,0.155
19,seg_0019.mp4,32496,32980,1083.2,1099.333,16.133,1.04,0.214
20,seg_0020.mp4,34135,34413,1137.833,1147.1,9.267,1.2,0.216
21,seg_0021.mp4,36552,36829,1218.4,1227.633,9.233,1.76,0.18
22,seg_0022.mp4,37880,38371,1262.667,1279.033,16.367,1.22,0.193
23,seg_0023.mp4,38748,39706,1291.6,1323.533,31.933,1.06,0.23
24,seg_0024.mp4,41114,41550,1370.467,1385.0,14.533,1.02,0.186
25,seg_0025.mp4,42183,42604,1406.1,1420.133,14.033,1.02,0.149
26,seg_0026.mp4,43095,43317,1436.5,1443.9,7.4,1.16,0.262
27,seg_0027.mp4,44918,45242,1497.267,1508.067,10.8,1.0,0.172
28,seg_0028.mp4,45661,46110,1522.033,1537.0,14.967,1.01,0.239
29,seg_0029.mp4,46555,46764,1551.833,1558.8,6.967,1.07,0.113
30,seg_0030.mp4,47679,48003,1589.3,1600.1,10.8,1.0,0.144
31,seg_0031.mp4,48356,48964,1611.867,1632.133,20.267,1.02,0.239
32,seg_0032.mp4,49473,50017,1649.1,1667.233,18.133,1.0,0.217
33,seg_0033.mp4,50671,51481,1689.033,1716.033,27.0,1.01,0.214
34,seg_0034.mp4,52149,52447,1738.3,1748.233,9.933,1.03,0.202
35,seg_0035.mp4,53738,54177,1791.267,1805.9,14.633,1.01,0.206
36,seg_0036.mp4,54746,55022,1824.867,1834.067,9.2,1.19,0.236
37,seg_0037.mp4,56007,56269,1866.9,1875.633,8.733,1.06,0.099
38,seg_0038.mp4,56589,56839,1886.3,1894.633,8.333,1.12,0.182
39,seg_0039.mp4,60325,61039,2010.833,2034.633,23.8,3.15,0.185
40,seg_0040.mp4,61436,61728,2047.867,2057.6,9.733,1.45,0.245
41,seg_0041.mp4,62524,62742,2084.133,2091.4,7.267,1.43,0.247
42,seg_0042.mp4,63190,63556,2106.333,2118.533,12.2,1.42,0.256
43,seg_0043.mp4,64501,64872,2150.033,2162.4,12.367,1.49,0.22
44,seg_0044.mp4,65222,65910,2174.067,2197.0,22.933,1.44,0.257
45,seg_0045.mp4,66556,66915,2218.533,2230.5,11.967,1.55,0.195
46,seg_0046.mp4,67354,67632,2245.133,2254.4,9.267,1.5,0.152
47,seg_0047.mp4,68456,69225,2281.867,2307.5,25.633,1.42,0.2
48,seg_0048.mp4,69782,70069,2326.067,2335.633,9.567,1.53,0.225
49,seg_0049.mp4,70550,70920,2351.667,2364.0,12.333,1.41,0.239
50,seg_0050.mp4,72085,72352,2402.833,2411.733,8.9,1.44,0.218
51,seg_0051.mp4,72927,73138,2430.9,2437.933,7.033,1.53,0.213
52,seg_0052.mp4,73666,73946,2455.533,2464.867,9.333,1.61,0.155
53,seg_0053.mp4,74130,75105,2471.0,2503.5,32.5,1.42,0.257
54,seg_0054.mp4,75987,76651,2532.9,2555.033,22.133,1.43,0.234
55,seg_0055.mp4,77424,78535,2580.8,2617.833,37.033,1.4,0.242
56,seg_0056.mp4,79182,79594,2639.4,2653.133,13.733,1.42,0.129
57,seg_0057.mp4,80142,80434,2671.4,2681.133,9.733,1.45,0.228
58,seg_0058.mp4,83555,84827,2785.167,2827.567,42.4,1.42,0.257
59,seg_0059.mp4,86141,86737,2871.367,2891.233,19.867,1.49,0.167
60,seg_0060.mp4,87499,88102,2916.633,2936.733,20.1,1.45,0.223
61,seg_0061.mp4,88998,89216,2966.6,2973.867,7.267,1.58,0.181
62,seg_0062.mp4,89694,89962,2989.8,2998.733,8.933,1.5,0.229
63,seg_0063.mp4,90372,90820,3012.4,3027.333,14.933,1.5,0.223
64,seg_0064.mp4,91573,91916,3052.433,3063.867,11.433,1.56,0.164
65,seg_0065.mp4,92394,92622,3079.8,3087.4,7.6,1.57,0.148
66,seg_0066.mp4,92893,93209,3096.433,3106.967,10.533,1.58,0.104
67,seg_0067.mp4,93432,93625,3114.4,3120.833,6.433,1.65,0.185
68,seg_0068.mp4,93918,94098,3130.6,3136.6,6.0,1.64,0.176
